species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bird1,0,1,0.001,-1.7271126116410411,1,1
bird1,0,1,0.01,-1.7271126209638301,1,1
bird1,0,1,0.1,-1.727112714459582,1,1
bird1,1,1,0.001,-0.747655825776512,8,8
bird1,1,1,0.01,-0.7474932224123016,8,8
bird1,1,1,0.1,-0.7473534601279417,8,8
bird1,2,1,0.001,-0.6992707008568776,56,35
bird1,2,1,0.01,-0.6979205364472351,56,35
bird1,2,1,0.1,-0.6968534799601842,56,35
bird1,3,1,0.001,-0.6847429625479542,392,75
bird1,3,1,0.01,-0.6827099428548196,392,75
bird1,3,1,0.1,-0.6816312953433626,392,75
bird1,4,1,0.001,-0.6877511138644349,2744,129
bird1,4,1,0.01,-0.6841077967554151,2744,129
bird1,4,1,0.1,-0.682330331531292,2744,129
bird1,5,1,0.001,-0.6938316379564969,19208,195
bird1,5,1,0.01,-0.6882944506061944,19208,195
bird1,5,1,0.1,-0.6858880527143669,19208,195
bird1,0,2,0.001,-1.737404045326849,1,1
bird1,0,2,0.01,-1.7374040087276623,1,1
bird1,0,2,0.1,-1.7374036430561703,1,1
bird1,1,2,0.001,-0.7456519520205723,8,8
bird1,1,2,0.01,-0.7451324636512795,8,8
bird1,1,2,0.1,-0.7446258970149345,8,8
bird1,2,2,0.001,-0.6988370738704889,56,36
bird1,2,2,0.01,-0.6979761986467464,56,36
bird1,2,2,0.1,-0.6975470664776969,56,36
bird1,3,2,0.001,-0.6904680391208289,392,76
bird1,3,2,0.01,-0.6875579199732645,392,76
bird1,3,2,0.1,-0.6855900944847583,392,76
bird1,4,2,0.001,-0.6899638530318588,2744,133
bird1,4,2,0.01,-0.6870284898783761,2744,133
bird1,4,2,0.1,-0.6855410670611536,2744,133
bird1,5,2,0.001,-0.7064113781625145,19208,198
bird1,5,2,0.01,-0.6979324965307284,19208,198
bird1,5,2,0.1,-0.6927081172229015,19208,198
bird1,0,3,0.001,-1.7398830876367155,1,1
bird1,0,3,0.01,-1.7398830480636291,1,1
bird1,0,3,0.1,-1.7398826526686935,1,1
bird1,1,3,0.001,-0.7561009775598351,8,8
bird1,1,3,0.01,-0.7559407843843547,8,8
bird1,1,3,0.1,-0.7557940951164894,8,8
bird1,2,3,0.001,-0.7126340618674862,56,37
bird1,2,3,0.01,-0.7106466378096297,56,37
bird1,2,3,0.1,-0.7090023375543826,56,37
bird1,3,3,0.001,-0.7034361758210296,392,82
bird1,3,3,0.01,-0.7004147882939752,392,82
bird1,3,3,0.1,-0.6984045731620525,392,82
bird1,4,3,0.001,-0.7038806471017134,2744,143
bird1,4,3,0.01,-0.7005055296328697,2744,143
bird1,4,3,0.1,-0.6989493904145928,2744,143
bird1,5,3,0.001,-0.7177929894942449,19208,218
bird1,5,3,0.01,-0.7096492827046862,19208,218
bird1,5,3,0.1,-0.7049721707240528,19208,218
bird1,0,4,0.001,-1.76416996665238,1,1
bird1,0,4,0.01,-1.764169705509713,1,1
bird1,0,4,0.1,-1.7641670948801722,1,1
bird1,1,4,0.001,-0.748506806132686,8,8
bird1,1,4,0.01,-0.748508374257589,8,8
bird1,1,4,0.1,-0.7485252962104624,8,8
bird1,2,4,0.001,-0.7035880120477367,56,35
bird1,2,4,0.01,-0.7016292418462671,56,35
bird1,2,4,0.1,-0.7000958889434282,56,35
bird1,3,4,0.001,-0.691167230336262,392,80
bird1,3,4,0.01,-0.6882506979860101,392,80
bird1,3,4,0.1,-0.6863158071298887,392,80
bird1,4,4,0.001,-0.6959574569405436,2744,139
bird1,4,4,0.01,-0.6911401798892438,2744,139
bird1,4,4,0.1,-0.6884549715606146,2744,139
bird1,5,4,0.001,-0.7130529801653426,19208,210
bird1,5,4,0.01,-0.7029825632389546,19208,210
bird1,5,4,0.1,-0.6968250619061658,19208,210
bird1,0,5,0.001,-1.7392119625636373,1,1
bird1,0,5,0.01,-1.7392119093451575,1,1
bird1,0,5,0.1,-1.7392113774897582,1,1
bird1,1,5,0.001,-0.7575261221533145,8,8
bird1,1,5,0.01,-0.7566571277693455,8,8
bird1,1,5,0.1,-0.7557962187134154,8,8
bird1,2,5,0.001,-0.7131417343397083,56,38
bird1,2,5,0.01,-0.711191492137727,56,38
bird1,2,5,0.1,-0.7097161265998864,56,38
bird1,3,5,0.001,-0.705806326820436,392,82
bird1,3,5,0.01,-0.7019971261010135,392,82
bird1,3,5,0.1,-0.6994196557772626,392,82
bird1,4,5,0.001,-0.7071425310271754,2744,141
bird1,4,5,0.01,-0.7031211160041754,2744,141
bird1,4,5,0.1,-0.7011789942861167,2744,141
bird1,5,5,0.001,-0.7295394369680965,19208,213
bird1,5,5,0.01,-0.718775729873819,19208,213
bird1,5,5,0.1,-0.71222039396077,19208,213
bird1,0,6,0.001,-1.7176999964401984,1,1
bird1,0,6,0.01,-1.7177000605924677,1,1
bird1,0,6,0.1,-1.7177007023148743,1,1
bird1,1,6,0.001,-0.7419310507629605,8,8
bird1,1,6,0.01,-0.7415995075164583,8,8
bird1,1,6,0.1,-0.7412988098916037,8,8
bird1,2,6,0.001,-0.6984434820725202,56,33
bird1,2,6,0.01,-0.6969035658967639,56,33
bird1,2,6,0.1,-0.6956469320054592,56,33
bird1,3,6,0.001,-0.6849434076102556,392,70
bird1,3,6,0.01,-0.6830277700664433,392,70
bird1,3,6,0.1,-0.6818089686083443,392,70
bird1,4,6,0.001,-0.6919148122340399,2744,120
bird1,4,6,0.01,-0.6869160199365794,2744,120
bird1,4,6,0.1,-0.6835939101411073,2744,120
bird1,5,6,0.001,-0.695384275188747,19208,185
bird1,5,6,0.01,-0.6900775280918904,19208,185
bird1,5,6,0.1,-0.6872078722062296,19208,185
bird1,0,7,0.001,-1.717428743611842,1,1
bird1,0,7,0.01,-1.7174287971243334,1,1
bird1,0,7,0.1,-1.717429332463566,1,1
bird1,1,7,0.001,-0.7399378633117661,8,8
bird1,1,7,0.01,-0.739941752560824,8,8
bird1,1,7,0.1,-0.7399807761542001,8,8
bird1,2,7,0.001,-0.6953145385237787,56,30
bird1,2,7,0.01,-0.6946293225213905,56,30
bird1,2,7,0.1,-0.6941794359695691,56,30
bird1,3,7,0.001,-0.686111100261674,392,63
bird1,3,7,0.01,-0.6839745127510994,392,63
bird1,3,7,0.1,-0.6824869056725644,392,63
bird1,4,7,0.001,-0.6878677873636454,2744,114
bird1,4,7,0.01,-0.6844454573660336,2744,114
bird1,4,7,0.1,-0.6824470149176547,2744,114
bird1,5,7,0.001,-0.7035538186273993,19208,184
bird1,5,7,0.01,-0.6941044799209926,19208,184
bird1,5,7,0.1,-0.6877125855255852,19208,184
bird1,0,8,0.001,-1.729554734678281,1,1
bird1,0,8,0.01,-1.7295546906398014,1,1
bird1,0,8,0.1,-1.7295542506615849,1,1
bird1,1,8,0.001,-0.7510536341134387,8,8
bird1,1,8,0.01,-0.7508929857983715,8,8
bird1,1,8,0.1,-0.7507473494778659,8,8
bird1,2,8,0.001,-0.7124120148006898,56,36
bird1,2,8,0.01,-0.709563635691203,56,36
bird1,2,8,0.1,-0.7071069236122074,56,36
bird1,3,8,0.001,-0.7023879072301031,392,81
bird1,3,8,0.01,-0.698122727184168,392,81
bird1,3,8,0.1,-0.6949864770626697,392,81
bird1,4,8,0.001,-0.7044363992346594,2744,143
bird1,4,8,0.01,-0.6999927742420836,2744,143
bird1,4,8,0.1,-0.6975209738299842,2744,143
bird1,5,8,0.001,-0.7242699222959547,19208,225
