wav_file,song
bird_2_241023_155754.0.wav,bbbccccccbbbccdfdgadgaeebbeecdfdfbbccdgaeebbbccdgaec
bird_2_241023_155805.1.wav,bdgaeccbbccdfdgaeebbbbccdf
bird_2_241023_161557.2.wav,bbbbccccccdfdgecbbbccdfdgaeebbccdfdg
bird_2_241023_161618.3.wav,cccccdeccbbbccdfdgaeebbbccdeedgadgaeebb
bird_2_241023_161743.4.wav,ebbbcccccdfdfdgaecbbbccdfdgaeebbecbbccdfdgadgaeebbbccccdga
bird_2_241023_161933.5.wav,eebbbcccccdfdfdgaeebbccdfdgaeebbccdfdga
bird_2_241023_162041.6.wav,cbbbcccccdbbbcecbbccdfdgaeebbcdfdgaeccc
bird_2_241023_162047.7.wav,cdfdgaeecccdfdfdgaeebbccdgaeebbccdfdgadga
bird_2_241023_162113.8.wav,ebbbccccccdfdgaecbbbccdfdgaecbbbccde
bird_2_241023_162141.9.wav,cebbccccedfdgaeebbbccdebbccdfdgaeebbccdga
bird_2_241023_162207.10.wav,cbbcccccdfdgaecbbccdfdgaebccdgaeebbbccdgaeebbbccdfdfdgaebbc
bird_2_241023_162259.11.wav,bbbccccccdfdgaecbbbcccdcccdgaeebbbccdfdgaecbbccdfdgaeebbebbccdfdga
bird_2_241023_162510.12.wav,bbbccccdfdfdgaecbbccdfdgaeebbccdgadgaecbbbcceedfdgaeebbbccdfdga
bird_2_241023_162846.13.wav,ebbbccccdfdgaecbbbccdfdfdgaeebbccdfdgaeeebbbcccdfdga
bird_2_241023_162954.14.wav,cccccecbbccdfdgaeebbccdfdgaebbccdfdgaeebbbccebbccdfdeebbccdga
bird_2_241023_163327.15.wav,dfdfdgeccccdfdeebbbccceedfdgaeebbbccdgadgaeebbbcccdfdga
bird_2_241023_163422.16.wav,bbbbcccccccdfdfdgaecbbbccdfdfdgaeebbe
bird_2_241023_163635.17.wav,bbbbcccccccdfdfdgaecbbbccdfdgaeebbccdgadga
bird_2_241023_163703.18.wav,ebbeccccccdfdgaecbbbccdgaeebbbccdgaeebbbccdfdgadgaecbbccec
bird_2_241023_163851.20.wav,bbbbccccdfdgaecbbcccdfdgaeebbbccdfdgaeeccdfdgaeebbccdfdgaeebbbcccdgaecbbbbcccdgacec
bird_2_241023_163925.21.wav,bebbbcccecdfdgaeebbccdfdgaebbbbccdga
bird_2_241023_163947.22.wav,ebbbcccccdfdgaecbbbccdfdgadgaecbbcccdfdgaee
bird_2_241023_164634.23.wav,bbbccccccbbbbbbbccdfdfdgaeebbbccbbbccdfdgaeebbbccdfdgadga
bird_2_241023_164713.24.wav,cccbbbbbcccdfdfdgaeebbbccdfdgaeebbccdfdgaeebbbccdgaec
