species,k,sim,smoother,log_likelihood,num_train_states,num_test_states
bre,0,1,0.001,-2.2405722443592917,1,1
bre,0,1,0.01,-2.2405722190073205,1,1
bre,0,1,0.1,-2.240571965631598,1,1
bre,1,1,0.001,-0.06943113027481702,11,10
bre,1,1,0.01,-0.06943357153601938,11,10
bre,1,1,0.1,-0.06945808689973916,11,10
bre,2,1,0.001,-0.07907704239400257,110,39
bre,2,1,0.01,-0.07871154530769627,110,39
bre,2,1,0.1,-0.07848870579829269,110,39
bre,3,1,0.001,-0.09643019654839202,1100,111
bre,3,1,0.01,-0.09403102084159645,1100,111
bre,3,1,0.1,-0.09352275187091308,1100,111
bre,4,1,0.001,-0.2561815945978682,11000,177
bre,4,1,0.01,-0.25172066394642545,11000,177
bre,4,1,0.1,-0.2525476661641307,11000,177
bre,5,1,0.001,-0.8216447936784836,110000,222
bre,5,1,0.01,-0.7815516146637551,110000,222
bre,5,1,0.1,-0.7555432835596371,110000,222
bre,6,1,0.001,-1.077469822115754,1100000,247
bre,6,1,0.01,-1.0734794623975221,1100000,247
bre,6,1,0.1,-1.0759762040932097,1100000,247
bre,0,2,0.001,-2.129728430321222,1,1
bre,0,2,0.01,-2.129728459890423,1,1
bre,0,2,0.1,-2.1297287557399827,1,1
bre,1,2,0.001,-0.1044542500801242,11,10
bre,1,2,0.01,-0.10445501452113956,11,10
bre,1,2,0.1,-0.10446315556047395,11,10
bre,2,2,0.001,-0.12642669091362257,110,41
bre,2,2,0.01,-0.125887937561302,110,41
bre,2,2,0.1,-0.12563640860522898,110,41
bre,3,2,0.001,-0.1488151046779433,1100,101
bre,3,2,0.01,-0.14306999678927582,1100,101
bre,3,2,0.1,-0.13915901324828983,1100,101
bre,4,2,0.001,-0.24297273379321085,11000,166
bre,4,2,0.01,-0.23260242640099385,11000,166
bre,4,2,0.1,-0.22788571409105438,11000,166
bre,5,2,0.001,-0.48069284778512045,110000,204
bre,5,2,0.01,-0.46873525312422815,110000,204
bre,5,2,0.1,-0.4635718936733182,110000,204
bre,6,2,0.001,-0.8660183059051311,1100000,218
bre,6,2,0.01,-0.862502695543471,1100000,218
bre,6,2,0.1,-0.8632749226263564,1100000,218
bre,0,3,0.001,-2.22038591463505,1,1
